place;date_of_event;point_in_time;start_time;time_of_discovery;placelabel;image;coordinate_x;coordinate_y;instance_of;instance_of_label;popularityen;sitelinken;popularitypl;popularityes;popularityfr;popularityde;popularityzh;popularityru;popularitypt;popularityit;popularityar
http://www.wikidata.org/entity/Q1758518;1942-06-06T00:00:00Z;;6/6/42 2:00;;Japanese occupation of Kiska;http://commons.wikimedia.org/wiki/Special:FilePath/JapaneseKiska.jpg;177,495;51,973;http://www.wikidata.org/entity/Q180684;konflikt;;;;;;;;;;;
http://www.wikidata.org/entity/Q5453007;1855-10-01T00:00:00Z;1855-10-01T00:00:00Z;;;First Fiji Expedition;http://commons.wikimedia.org/wiki/Special:FilePath/Urville-Viti-Lebouka2.jpg;177,452777777;-17,624166666;http://www.wikidata.org/entity/Q180684;konflikt;;;;;;;;;;;
http://www.wikidata.org/entity/Q2033079;1943-08-15T00:00:00Z;1943-08-15T00:00:00Z;;;Operation Cottage;http://commons.wikimedia.org/wiki/Special:FilePath/KiskaLandings.gif;177,43;51,96;http://www.wikidata.org/entity/Q180684;konflikt;17;https://en.wikipedia.org/wiki/Operation_Cottage;;;1;;1;39;;;
http://www.wikidata.org/entity/Q16984458;1859-10-06T00:00:00Z;;10/6/59 22:00;;Second Fiji Expedition;http://commons.wikimedia.org/wiki/Special:FilePath/WayaYalobi.jpg;177,133333333;-17,3;http://www.wikidata.org/entity/Q180684;konflikt;;;;;;;;;;;
http://www.wikidata.org/entity/Q722402;1931-02-03T00:00:00Z;1931-02-03T00:00:00Z;;;TrzÄ™sienie ziemi w Hawke's Bay;;177;-39,3;http://www.wikidata.org/entity/Q7944;trzÄ™sienie ziemi;;;;;;;;;;;
http://www.wikidata.org/entity/Q4614415;2009-05-09T00:00:00Z;2009-05-09T00:00:00Z;;;2009 Napier shootings;;176,903;-39,4908;http://www.wikidata.org/entity/Q18669875;incident;;;;;;;;;;;
http://www.wikidata.org/entity/Q17985248;2008-08-25T00:00:00Z;2008-08-25T00:00:00Z;;;2008 Hastings Earthquake;;176,85;-39,72;;;;;;;;;;;;;
http://www.wikidata.org/entity/Q1284366;1987-03-02T00:00:00Z;1987-03-02T00:00:00Z;;;1987 Edgecumbe earthquake;;176,84;-37,88;http://www.wikidata.org/entity/Q7944;trzÄ™sienie ziemi;;;;;;;;;;;
http://www.wikidata.org/entity/Q616963;1986-01-01T00:00:00Z;;;1/1/86 1:00;Caves of Nanumanga;;176,3209;-6,2687;http://www.wikidata.org/entity/Q35509;jaskinia;;;;;;;;;;;
http://www.wikidata.org/entity/Q18343854;1934-03-05T00:00:00Z;1934-03-05T00:00:00Z;;;1934 Pahiatua earthquake;;176,29;-40,55;http://www.wikidata.org/entity/Q7944;trzÄ™sienie ziemi;;;;;;;;;;;
